paragraph,transition,jac_sim,entropy
P1,Φ0→Φ1,0.5555555555555556,0.4444444444444444
P1,Φ1→Φ2,0.4,0.6
P1,Φ2→Φ3,0.625,0.375
P1,Φ3→Φ4,0.8571428571428571,0.1428571428571429
P1,Φ4→Φ5,0.2727272727272727,0.7272727272727273
P1,Φ5→Φ6,1.0,0.0
P1,Φ6→Φ7,0.0,1.0
P1,Φ7→Φ8,0.0,1.0
P2,Φ0→Φ1,0.6666666666666666,0.33333333333333337
P2,Φ1→Φ2,0.42857142857142855,0.5714285714285714
P2,Φ2→Φ3,0.7272727272727273,0.2727272727272727
P2,Φ3→Φ4,0.9,0.09999999999999998
P2,Φ4→Φ5,0.3333333333333333,0.6666666666666667
P2,Φ5→Φ6,1.0,0.0
P2,Φ6→Φ7,0.0,1.0
P2,Φ7→Φ8,0.0,1.0
P3,Φ0→Φ1,0.8333333333333334,0.16666666666666663
P3,Φ1→Φ2,0.4666666666666667,0.5333333333333333
P3,Φ2→Φ3,0.75,0.25
P3,Φ3→Φ4,0.9090909090909091,0.09090909090909094
P3,Φ4→Φ5,0.29411764705882354,0.7058823529411764
P3,Φ5→Φ6,1.0,0.0
P3,Φ6→Φ7,0.0,1.0
P3,Φ7→Φ8,0.0,1.0
